#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Component	GO:0005576	Extracellular region	95	4166	0.16	0.0041	9606.ENSP00000196061,9606.ENSP00000221515,9606.ENSP00000222572,9606.ENSP00000236040,9606.ENSP00000252486,9606.ENSP00000255409,9606.ENSP00000261714,9606.ENSP00000262288,9606.ENSP00000263980,9606.ENSP00000264870,9606.ENSP00000270776,9606.ENSP00000270792,9606.ENSP00000271324,9606.ENSP00000272238,9606.ENSP00000285735,9606.ENSP00000289749,9606.ENSP00000294671,9606.ENSP00000294724,9606.ENSP00000294728,9606.ENSP00000294785,9606.ENSP00000303758,9606.ENSP00000313875,9606.ENSP00000313922,9606.ENSP00000313967,9606.ENSP00000322273,9606.ENSP00000342026,9606.ENSP00000346088,9606.ENSP00000346829,9606.ENSP00000348888,9606.ENSP00000355228,9606.ENSP00000355718,9606.ENSP00000355800,9606.ENSP00000355955,9606.ENSP00000356016,9606.ENSP00000356058,9606.ENSP00000356917,9606.ENSP00000356946,9606.ENSP00000357048,9606.ENSP00000357076,9606.ENSP00000357152,9606.ENSP00000357362,9606.ENSP00000357688,9606.ENSP00000357705,9606.ENSP00000357709,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000358098,9606.ENSP00000358151,9606.ENSP00000358482,9606.ENSP00000358814,9606.ENSP00000359132,9606.ENSP00000359345,9606.ENSP00000359485,9606.ENSP00000359699,9606.ENSP00000359719,9606.ENSP00000360021,9606.ENSP00000360034,9606.ENSP00000360124,9606.ENSP00000360913,9606.ENSP00000360939,9606.ENSP00000361626,9606.ENSP00000361834,9606.ENSP00000362146,9606.ENSP00000363117,9606.ENSP00000363330,9606.ENSP00000363452,9606.ENSP00000363603,9606.ENSP00000363676,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000367086,9606.ENSP00000373477,9606.ENSP00000379888,9606.ENSP00000379895,9606.ENSP00000380901,9606.ENSP00000393139,9606.ENSP00000393474,9606.ENSP00000399805,9606.ENSP00000401010,9606.ENSP00000410452,9606.ENSP00000412237,9606.ENSP00000418447,9606.ENSP00000428085,9606.ENSP00000433642,9606.ENSP00000435585,9606.ENSP00000438615,9606.ENSP00000440704,9606.ENSP00000441065,9606.ENSP00000445306,9606.ENSP00000451112,9606.ENSP00000472985,9606.ENSP00000482841,9606.ENSP00000484824	PLOD1,RETN,PON2,LEPRE1,APOE,CHI3L1,BLMH,SCPEP1,SLC9A1,F13A1,PGD,SH3BGRL3,CD53,ATP6V1C2,RHOC,NBL1,GBP7,AGL,VCAM1,NCSTN,LUZP1,CD46,OAZ3,C1QB,OLFML3,PRDX6,RPL22,WLS,PIGR,HMGN2,DLL1,TMEM63A,NENF,CR1,FAIM3,OLFML2B,FCGR3A,COPA,TAGLN2,CD1C,THBS3,S100A13,S100A4,S100A6,S100A8,S100A12,CTSS,ECM1,C1orf54,HIST2H2BE,CD101,AHCYL1,EXTL2,RPL5,GBP6,DNASE2B,PRKACB,GNG12,SERBP1,PGM1,SPATA6,CMPK1,YBX1,COL9A2,CDCA8,FGR,CD52,MAN1C1,FUCA1,RPL11,PADI2,SLC2A5,ACOT7,GPX3,RPS8,GATM,COL8A2,CDC7,CD163L1,CRYZ,CAPZB,STMN1,IL10,PPP2CA,RPL30,FCGR3B,EPS8L2,C1R,SYTL1,SLC16A1,ATP1A1,NPC2,RPS5,CRABP2,MUC1
GO Component	GO:0043229	Intracellular organelle	229	12528	0.07	0.0041	9606.ENSP00000158762,9606.ENSP00000178640,9606.ENSP00000196061,9606.ENSP00000221515,9606.ENSP00000222572,9606.ENSP00000233627,9606.ENSP00000235329,9606.ENSP00000236040,9606.ENSP00000236147,9606.ENSP00000236273,9606.ENSP00000246151,9606.ENSP00000247191,9606.ENSP00000247986,9606.ENSP00000252102,9606.ENSP00000252486,9606.ENSP00000253063,9606.ENSP00000255120,9606.ENSP00000255409,9606.ENSP00000256637,9606.ENSP00000261461,9606.ENSP00000261714,9606.ENSP00000262662,9606.ENSP00000262812,9606.ENSP00000263774,9606.ENSP00000263934,9606.ENSP00000263980,9606.ENSP00000264870,9606.ENSP00000266544,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000270776,9606.ENSP00000270792,9606.ENSP00000271234,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000271452,9606.ENSP00000271688,9606.ENSP00000272238,9606.ENSP00000274137,9606.ENSP00000282074,9606.ENSP00000284509,9606.ENSP00000286692,9606.ENSP00000287598,9606.ENSP00000290524,9606.ENSP00000290663,9606.ENSP00000294507,9606.ENSP00000294671,9606.ENSP00000294724,9606.ENSP00000294728,9606.ENSP00000294785,9606.ENSP00000296509,9606.ENSP00000297679,9606.ENSP00000301633,9606.ENSP00000303758,9606.ENSP00000304429,9606.ENSP00000305204,9606.ENSP00000305416,9606.ENSP00000308583,9606.ENSP00000310111,9606.ENSP00000311083,9606.ENSP00000313582,9606.ENSP00000313875,9606.ENSP00000313922,9606.ENSP00000313950,9606.ENSP00000318094,9606.ENSP00000322450,9606.ENSP00000323435,9606.ENSP00000327268,9606.ENSP00000330237,9606.ENSP00000334657,9606.ENSP00000338769,9606.ENSP00000341963,9606.ENSP00000342026,9606.ENSP00000342385,9606.ENSP00000343686,9606.ENSP00000346088,9606.ENSP00000346829,9606.ENSP00000348888,9606.ENSP00000349016,9606.ENSP00000351407,9606.ENSP00000354553,9606.ENSP00000354669,9606.ENSP00000354960,9606.ENSP00000355228,9606.ENSP00000355299,9606.ENSP00000355506,9606.ENSP00000355541,9606.ENSP00000355718,9606.ENSP00000355759,9606.ENSP00000355800,9606.ENSP00000355922,9606.ENSP00000355955,9606.ENSP00000355958,9606.ENSP00000355964,9606.ENSP00000355966,9606.ENSP00000356016,9606.ENSP00000356110,9606.ENSP00000356125,9606.ENSP00000356172,9606.ENSP00000356243,9606.ENSP00000356301,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356480,9606.ENSP00000356505,9606.ENSP00000356591,9606.ENSP00000356795,9606.ENSP00000356919,9606.ENSP00000356972,9606.ENSP00000356988,9606.ENSP00000357048,9606.ENSP00000357051,9606.ENSP00000357152,9606.ENSP00000357206,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000357307,9606.ENSP00000357360,9606.ENSP00000357389,9606.ENSP00000357475,9606.ENSP00000357555,9606.ENSP00000357644,9606.ENSP00000357688,9606.ENSP00000357705,9606.ENSP00000357707,9606.ENSP00000357709,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357812,9606.ENSP00000357823,9606.ENSP00000357901,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000358060,9606.ENSP00000358151,9606.ENSP00000358478,9606.ENSP00000358925,9606.ENSP00000359132,9606.ENSP00000359345,9606.ENSP00000359485,9606.ENSP00000359488,9606.ENSP00000359699,9606.ENSP00000359719,9606.ENSP00000359871,9606.ENSP00000360021,9606.ENSP00000360034,9606.ENSP00000360124,9606.ENSP00000360133,9606.ENSP00000360266,9606.ENSP00000360296,9606.ENSP00000360569,9606.ENSP00000360577,9606.ENSP00000360642,9606.ENSP00000360688,9606.ENSP00000360762,9606.ENSP00000360939,9606.ENSP00000360944,9606.ENSP00000361014,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361311,9606.ENSP00000361540,9606.ENSP00000361626,9606.ENSP00000361834,9606.ENSP00000362060,9606.ENSP00000362146,9606.ENSP00000362300,9606.ENSP00000362937,9606.ENSP00000363117,9606.ENSP00000363257,9606.ENSP00000363452,9606.ENSP00000363603,9606.ENSP00000363676,9606.ENSP00000364490,9606.ENSP00000364635,9606.ENSP00000364649,9606.ENSP00000365851,9606.ENSP00000366641,9606.ENSP00000367086,9606.ENSP00000367727,9606.ENSP00000376168,9606.ENSP00000376899,9606.ENSP00000378974,9606.ENSP00000379739,9606.ENSP00000379888,9606.ENSP00000379895,9606.ENSP00000380494,9606.ENSP00000380901,9606.ENSP00000381565,9606.ENSP00000381740,9606.ENSP00000385510,9606.ENSP00000386439,9606.ENSP00000388293,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000397900,9606.ENSP00000401010,9606.ENSP00000406293,9606.ENSP00000410452,9606.ENSP00000412292,9606.ENSP00000417677,9606.ENSP00000417748,9606.ENSP00000418447,9606.ENSP00000419494,9606.ENSP00000419740,9606.ENSP00000420443,9606.ENSP00000428085,9606.ENSP00000433642,9606.ENSP00000434614,9606.ENSP00000435412,9606.ENSP00000437955,9606.ENSP00000439170,9606.ENSP00000440704,9606.ENSP00000441065,9606.ENSP00000445306,9606.ENSP00000451112,9606.ENSP00000457168,9606.ENSP00000460964,9606.ENSP00000462099,9606.ENSP00000462729,9606.ENSP00000463057,9606.ENSP00000463154,9606.ENSP00000472985,9606.ENSP00000473348,9606.ENSP00000476755,9606.ENSP00000477344,9606.ENSP00000482841,9606.ENSP00000484824,9606.ENSP00000485061	ACAP1,MAP2K5,PLOD1,RETN,PON2,NDUFS7,MFN2,LEPRE1,SELL,SYF2,PITHD1,DLGAP5,KIF17,NDUFA2,APOE,SESN2,NASP,CHI3L1,SORT1,PPP2R5A,BLMH,CDKN2C,COPE,NDUFS3,KIF1B,SLC9A1,F13A1,NDUFA9,FANCM,WRAP73,PGD,SH3BGRL3,FNBP1L,CD53,FCGR2A,NUF2,CERS2,ATP6V1C2,NDUFS6,SPC25,ATP8B4,DRAM2,BUB1B,RFX5,MED8,LAPTM5,GBP7,AGL,VCAM1,NCSTN,MAD2L1,HSD3B7,BIRC5,LUZP1,SNX7,CKAP2L,S1PR1,APITD1,HSPB7,CKS1B,ZNF436,CD46,OAZ3,AURKB,SCMH1,NDUFV1,SNX22,NDUFV2,CASP9,TRIM46,ASAP3,RSC1A1,PRDX6,PTGES,BTBD8,RPL22,WLS,PIGR,PEX14,ARNT,C1orf85,FAM63A,COLGALT2,HMGN2,TSEN15,EXO1,HEATR1,DLL1,PARP1,TMEM63A,CENPF,NENF,DTL,LPGAT1,NEK2,CR1,NUCKS1,NUAK2,SOX13,UBE2T,TMEM9,KIF14,ASPM,RNF2,NCF2,SOAT1,TBX19,ATF6,NDUFS2,NIT1,COPA,PEX19,CD1C,NES,PMF1,PMF1-BGLAP,SYT11,MTX1,SLC50A1,ATP8B2,RPS27,GATAD2B,S100A13,S100A4,S100A5,S100A6,S100A8,S100A12,TDRKH,MRPL9,SCNM1,CTSS,ECM1,TARS2,HIST2H2BE,TTF2,PSRC1,EXTL2,RPL5,GBP6,GBP5,DNASE2B,PRKACB,ACADM,GNG12,SERBP1,PGM1,ITGB3BP,JUN,PPAP2B,SCP2,ECHDC2,CC2D1B,TXNDC12,ANKRD1,CMPK1,STIL,MKNK1,RAD54L,KIF2C,TMEM53,CDC20,YBX1,COL9A2,NDUFS5,CDCA8,AGO1,RCC1,FGR,ZDHHC18,MAN1C1,FUCA1,RPL11,ALDH4A1,PADI2,SDHB,BMI1,SLC2A5,ACOT7,PANK4,STRA13,PTGFRN,MAPK8,IPP,RPS8,GATM,MYCL,COL8A2,DIAPH1,PARP3,GPSM2,SYNC,TSTD1,CDC7,ANAPC7,MRO,CAPZB,TCEA3,STMN1,DEPDC1,ZBTB8OS,DDI2,PPP2CA,RYBP,NSUN4,CNIH4,RPL30,FCGR3B,CDC27,RPS6KA1,HIF1A,TBCE,SYTL1,SLC16A1,ATP1A1,NPC2,SZT2,ATPAF1,RASSF5,OTUD7B,PPIAL4C,ANP32E,RPS5,H6PD,PPP1R12B,SYT6,CRABP2,MUC1,SLC27A3
GO Component	GO:0071821	FANCM-MHF complex	3	3	1.8	0.0047	9606.ENSP00000267430,9606.ENSP00000308583,9606.ENSP00000376168	FANCM,APITD1,STRA13
GO Component	GO:0098800	Inner mitochondrial membrane protein complex	10	131	0.69	0.0047	9606.ENSP00000233627,9606.ENSP00000252102,9606.ENSP00000263774,9606.ENSP00000266544,9606.ENSP00000274137,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000356972,9606.ENSP00000362060,9606.ENSP00000364649	NDUFS7,NDUFA2,NDUFS3,NDUFA9,NDUFS6,NDUFV1,NDUFV2,NDUFS2,NDUFS5,SDHB
GO Component	GO:0000922	Spindle pole	11	161	0.64	0.0049	9606.ENSP00000247191,9606.ENSP00000296509,9606.ENSP00000305204,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356379,9606.ENSP00000358925,9606.ENSP00000361540,9606.ENSP00000385510,9606.ENSP00000418447	DLGAP5,MAD2L1,CKAP2L,AURKB,CENPF,NEK2,ASPM,PSRC1,CDC20,GPSM2,PPP2CA
GO Component	GO:0070013	Intracellular organelle lumen	123	5857	0.13	0.0068	9606.ENSP00000221515,9606.ENSP00000233627,9606.ENSP00000236040,9606.ENSP00000236273,9606.ENSP00000252486,9606.ENSP00000255120,9606.ENSP00000255409,9606.ENSP00000262812,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000264870,9606.ENSP00000266544,9606.ENSP00000267430,9606.ENSP00000270792,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000290524,9606.ENSP00000290663,9606.ENSP00000294724,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000305416,9606.ENSP00000308583,9606.ENSP00000310111,9606.ENSP00000311083,9606.ENSP00000313582,9606.ENSP00000313922,9606.ENSP00000313950,9606.ENSP00000318094,9606.ENSP00000338769,9606.ENSP00000341963,9606.ENSP00000342026,9606.ENSP00000342385,9606.ENSP00000343686,9606.ENSP00000349016,9606.ENSP00000351407,9606.ENSP00000354669,9606.ENSP00000354960,9606.ENSP00000355299,9606.ENSP00000355506,9606.ENSP00000355541,9606.ENSP00000355759,9606.ENSP00000355922,9606.ENSP00000355955,9606.ENSP00000355958,9606.ENSP00000355966,9606.ENSP00000356110,9606.ENSP00000356172,9606.ENSP00000356243,9606.ENSP00000356480,9606.ENSP00000356505,9606.ENSP00000356795,9606.ENSP00000356919,9606.ENSP00000356972,9606.ENSP00000357051,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000357555,9606.ENSP00000357644,9606.ENSP00000357688,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357823,9606.ENSP00000357901,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000358060,9606.ENSP00000358151,9606.ENSP00000358478,9606.ENSP00000358925,9606.ENSP00000359132,9606.ENSP00000359345,9606.ENSP00000359719,9606.ENSP00000359871,9606.ENSP00000360124,9606.ENSP00000360133,9606.ENSP00000360266,9606.ENSP00000360569,9606.ENSP00000360642,9606.ENSP00000360688,9606.ENSP00000360762,9606.ENSP00000360939,9606.ENSP00000361014,9606.ENSP00000361043,9606.ENSP00000361540,9606.ENSP00000361626,9606.ENSP00000361834,9606.ENSP00000362060,9606.ENSP00000362146,9606.ENSP00000362300,9606.ENSP00000362937,9606.ENSP00000363117,9606.ENSP00000363603,9606.ENSP00000363676,9606.ENSP00000364490,9606.ENSP00000364635,9606.ENSP00000364649,9606.ENSP00000365851,9606.ENSP00000367086,9606.ENSP00000376168,9606.ENSP00000378974,9606.ENSP00000379888,9606.ENSP00000379895,9606.ENSP00000380494,9606.ENSP00000380901,9606.ENSP00000381740,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000397900,9606.ENSP00000417677,9606.ENSP00000417748,9606.ENSP00000419494,9606.ENSP00000419740,9606.ENSP00000434614,9606.ENSP00000435412,9606.ENSP00000437955,9606.ENSP00000451112,9606.ENSP00000463154,9606.ENSP00000472985,9606.ENSP00000473348,9606.ENSP00000476755,9606.ENSP00000482841,9606.ENSP00000484824	RETN,NDUFS7,LEPRE1,SYF2,APOE,NASP,CHI3L1,COPE,NDUFS3,SLC9A1,F13A1,NDUFA9,FANCM,SH3BGRL3,NUF2,BUB1B,RFX5,MED8,AGL,MAD2L1,BIRC5,S1PR1,APITD1,HSPB7,CKS1B,ZNF436,OAZ3,AURKB,SCMH1,ASAP3,RSC1A1,PRDX6,PTGES,BTBD8,PEX14,ARNT,FAM63A,COLGALT2,TSEN15,EXO1,HEATR1,PARP1,CENPF,NENF,DTL,NEK2,NUCKS1,SOX13,UBE2T,RNF2,NCF2,TBX19,ATF6,NDUFS2,PEX19,PMF1,PMF1-BGLAP,RPS27,GATAD2B,S100A13,S100A8,S100A12,MRPL9,SCNM1,CTSS,ECM1,TARS2,HIST2H2BE,TTF2,PSRC1,EXTL2,RPL5,PRKACB,ACADM,PGM1,ITGB3BP,JUN,SCP2,CC2D1B,TXNDC12,ANKRD1,CMPK1,MKNK1,RAD54L,CDC20,YBX1,COL9A2,NDUFS5,CDCA8,AGO1,RCC1,FGR,FUCA1,RPL11,ALDH4A1,PADI2,SDHB,BMI1,ACOT7,STRA13,MAPK8,RPS8,GATM,MYCL,COL8A2,PARP3,CDC7,ANAPC7,MRO,ZBTB8OS,DDI2,RYBP,NSUN4,CDC27,RPS6KA1,HIF1A,NPC2,ANP32E,RPS5,H6PD,PPP1R12B,CRABP2,MUC1
GO Component	GO:0000780	Condensed nuclear chromosome, centromeric region	5	30	1.03	0.0104	9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000313950,9606.ENSP00000357256,9606.ENSP00000357259	NUF2,BUB1B,AURKB,PMF1,PMF1-BGLAP
GO Component	GO:0005622	Intracellular	251	14276	0.05	0.0120	9606.ENSP00000158762,9606.ENSP00000178640,9606.ENSP00000196061,9606.ENSP00000221515,9606.ENSP00000222572,9606.ENSP00000233627,9606.ENSP00000235329,9606.ENSP00000236040,9606.ENSP00000236147,9606.ENSP00000236273,9606.ENSP00000246151,9606.ENSP00000247191,9606.ENSP00000247986,9606.ENSP00000251527,9606.ENSP00000252102,9606.ENSP00000252486,9606.ENSP00000253063,9606.ENSP00000255120,9606.ENSP00000255409,9606.ENSP00000256637,9606.ENSP00000261461,9606.ENSP00000261714,9606.ENSP00000262288,9606.ENSP00000262662,9606.ENSP00000262741,9606.ENSP00000262812,9606.ENSP00000263774,9606.ENSP00000263934,9606.ENSP00000263980,9606.ENSP00000264870,9606.ENSP00000266544,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000270776,9606.ENSP00000270792,9606.ENSP00000271234,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000271452,9606.ENSP00000271688,9606.ENSP00000272238,9606.ENSP00000274137,9606.ENSP00000282074,9606.ENSP00000284509,9606.ENSP00000285735,9606.ENSP00000286692,9606.ENSP00000287598,9606.ENSP00000290524,9606.ENSP00000290663,9606.ENSP00000294435,9606.ENSP00000294507,9606.ENSP00000294671,9606.ENSP00000294724,9606.ENSP00000294728,9606.ENSP00000294785,9606.ENSP00000296509,9606.ENSP00000297679,9606.ENSP00000301633,9606.ENSP00000303758,9606.ENSP00000304429,9606.ENSP00000305204,9606.ENSP00000305416,9606.ENSP00000308583,9606.ENSP00000310111,9606.ENSP00000311083,9606.ENSP00000313582,9606.ENSP00000313875,9606.ENSP00000313922,9606.ENSP00000313950,9606.ENSP00000318094,9606.ENSP00000322450,9606.ENSP00000323435,9606.ENSP00000327268,9606.ENSP00000330237,9606.ENSP00000334657,9606.ENSP00000338769,9606.ENSP00000341963,9606.ENSP00000342026,9606.ENSP00000342385,9606.ENSP00000343686,9606.ENSP00000346088,9606.ENSP00000346829,9606.ENSP00000348888,9606.ENSP00000349016,9606.ENSP00000349594,9606.ENSP00000351407,9606.ENSP00000354451,9606.ENSP00000354553,9606.ENSP00000354669,9606.ENSP00000354960,9606.ENSP00000355228,9606.ENSP00000355299,9606.ENSP00000355506,9606.ENSP00000355541,9606.ENSP00000355718,9606.ENSP00000355759,9606.ENSP00000355800,9606.ENSP00000355890,9606.ENSP00000355922,9606.ENSP00000355955,9606.ENSP00000355958,9606.ENSP00000355964,9606.ENSP00000355966,9606.ENSP00000356016,9606.ENSP00000356110,9606.ENSP00000356125,9606.ENSP00000356172,9606.ENSP00000356243,9606.ENSP00000356280,9606.ENSP00000356301,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356429,9606.ENSP00000356430,9606.ENSP00000356480,9606.ENSP00000356505,9606.ENSP00000356591,9606.ENSP00000356607,9606.ENSP00000356621,9606.ENSP00000356795,9606.ENSP00000356919,9606.ENSP00000356972,9606.ENSP00000356988,9606.ENSP00000357048,9606.ENSP00000357051,9606.ENSP00000357076,9606.ENSP00000357152,9606.ENSP00000357206,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000357307,9606.ENSP00000357360,9606.ENSP00000357362,9606.ENSP00000357389,9606.ENSP00000357475,9606.ENSP00000357555,9606.ENSP00000357644,9606.ENSP00000357688,9606.ENSP00000357705,9606.ENSP00000357707,9606.ENSP00000357709,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357812,9606.ENSP00000357823,9606.ENSP00000357901,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000358060,9606.ENSP00000358151,9606.ENSP00000358478,9606.ENSP00000358814,9606.ENSP00000358925,9606.ENSP00000359132,9606.ENSP00000359264,9606.ENSP00000359345,9606.ENSP00000359485,9606.ENSP00000359488,9606.ENSP00000359699,9606.ENSP00000359719,9606.ENSP00000359871,9606.ENSP00000360021,9606.ENSP00000360034,9606.ENSP00000360124,9606.ENSP00000360133,9606.ENSP00000360266,9606.ENSP00000360296,9606.ENSP00000360569,9606.ENSP00000360577,9606.ENSP00000360642,9606.ENSP00000360688,9606.ENSP00000360762,9606.ENSP00000360939,9606.ENSP00000360944,9606.ENSP00000361014,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361311,9606.ENSP00000361540,9606.ENSP00000361626,9606.ENSP00000361834,9606.ENSP00000362060,9606.ENSP00000362146,9606.ENSP00000362300,9606.ENSP00000362937,9606.ENSP00000363117,9606.ENSP00000363257,9606.ENSP00000363452,9606.ENSP00000363603,9606.ENSP00000363676,9606.ENSP00000364490,9606.ENSP00000364635,9606.ENSP00000364649,9606.ENSP00000365777,9606.ENSP00000365851,9606.ENSP00000366641,9606.ENSP00000367086,9606.ENSP00000367173,9606.ENSP00000367727,9606.ENSP00000367746,9606.ENSP00000376168,9606.ENSP00000376899,9606.ENSP00000378974,9606.ENSP00000379739,9606.ENSP00000379888,9606.ENSP00000379895,9606.ENSP00000380494,9606.ENSP00000380901,9606.ENSP00000381565,9606.ENSP00000381740,9606.ENSP00000385510,9606.ENSP00000386439,9606.ENSP00000388293,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000397900,9606.ENSP00000399805,9606.ENSP00000401010,9606.ENSP00000406293,9606.ENSP00000410452,9606.ENSP00000412292,9606.ENSP00000417677,9606.ENSP00000417748,9606.ENSP00000418447,9606.ENSP00000419494,9606.ENSP00000419740,9606.ENSP00000420443,9606.ENSP00000428085,9606.ENSP00000433642,9606.ENSP00000434614,9606.ENSP00000435412,9606.ENSP00000435585,9606.ENSP00000437955,9606.ENSP00000439170,9606.ENSP00000440704,9606.ENSP00000441065,9606.ENSP00000445306,9606.ENSP00000451112,9606.ENSP00000457168,9606.ENSP00000460964,9606.ENSP00000462099,9606.ENSP00000462729,9606.ENSP00000463057,9606.ENSP00000463154,9606.ENSP00000472985,9606.ENSP00000473348,9606.ENSP00000476755,9606.ENSP00000477344,9606.ENSP00000482841,9606.ENSP00000484824,9606.ENSP00000485061	ACAP1,MAP2K5,PLOD1,RETN,PON2,NDUFS7,MFN2,LEPRE1,SELL,SYF2,PITHD1,DLGAP5,KIF17,ESYT2,NDUFA2,APOE,SESN2,NASP,CHI3L1,SORT1,PPP2R5A,BLMH,SCPEP1,CDKN2C,PIK3R3,COPE,NDUFS3,KIF1B,SLC9A1,F13A1,NDUFA9,FANCM,WRAP73,PGD,SH3BGRL3,FNBP1L,CD53,FCGR2A,NUF2,CERS2,ATP6V1C2,NDUFS6,SPC25,ATP8B4,RHOC,DRAM2,BUB1B,RFX5,MED8,RBP7,LAPTM5,GBP7,AGL,VCAM1,NCSTN,MAD2L1,HSD3B7,BIRC5,LUZP1,SNX7,CKAP2L,S1PR1,APITD1,HSPB7,CKS1B,ZNF436,CD46,OAZ3,AURKB,SCMH1,NDUFV1,SNX22,NDUFV2,CASP9,TRIM46,ASAP3,RSC1A1,PRDX6,PTGES,BTBD8,RPL22,WLS,PIGR,PEX14,ELAVL4,ARNT,IQGAP3,C1orf85,FAM63A,COLGALT2,HMGN2,TSEN15,EXO1,HEATR1,DLL1,PARP1,TMEM63A,EPRS,CENPF,NENF,DTL,LPGAT1,NEK2,CR1,NUCKS1,NUAK2,SOX13,UBE2T,PHLDA3,TMEM9,KIF14,ASPM,RGS1,RGS18,RNF2,NCF2,SOAT1,RALGPS2,RASAL2,TBX19,ATF6,NDUFS2,NIT1,COPA,PEX19,TAGLN2,CD1C,NES,PMF1,PMF1-BGLAP,SYT11,MTX1,THBS3,SLC50A1,ATP8B2,RPS27,GATAD2B,S100A13,S100A4,S100A5,S100A6,S100A8,S100A12,TDRKH,MRPL9,SCNM1,CTSS,ECM1,TARS2,HIST2H2BE,TTF2,AHCYL1,PSRC1,EXTL2,BCAR3,RPL5,GBP6,GBP5,DNASE2B,PRKACB,ACADM,GNG12,SERBP1,PGM1,ITGB3BP,JUN,PPAP2B,SCP2,ECHDC2,CC2D1B,TXNDC12,ANKRD1,CMPK1,STIL,MKNK1,RAD54L,KIF2C,TMEM53,CDC20,YBX1,COL9A2,NDUFS5,CDCA8,AGO1,RCC1,FGR,ZDHHC18,MAN1C1,FUCA1,RPL11,ALDH4A1,PADI2,SDHB,MTHFR,BMI1,SLC2A5,ACOT7,RNF207,PANK4,CLLU1,STRA13,PTGFRN,MAPK8,IPP,RPS8,GATM,MYCL,COL8A2,DIAPH1,PARP3,GPSM2,SYNC,TSTD1,CDC7,ANAPC7,MRO,CRYZ,CAPZB,TCEA3,STMN1,DEPDC1,ZBTB8OS,DDI2,PPP2CA,RYBP,NSUN4,CNIH4,RPL30,FCGR3B,CDC27,RPS6KA1,EPS8L2,HIF1A,TBCE,SYTL1,SLC16A1,ATP1A1,NPC2,SZT2,ATPAF1,RASSF5,OTUD7B,PPIAL4C,ANP32E,RPS5,H6PD,PPP1R12B,SYT6,CRABP2,MUC1,SLC27A3
GO Component	GO:0032133	Chromosome passenger complex	3	6	1.5	0.0147	9606.ENSP00000301633,9606.ENSP00000313950,9606.ENSP00000362146	BIRC5,AURKB,CDCA8
GO Component	GO:0000778	Condensed nuclear chromosome kinetochore	4	18	1.15	0.0164	9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000357256,9606.ENSP00000357259	NUF2,BUB1B,PMF1,PMF1-BGLAP
GO Component	GO:0098798	Mitochondrial protein complex	13	262	0.5	0.0180	9606.ENSP00000233627,9606.ENSP00000252102,9606.ENSP00000263774,9606.ENSP00000266544,9606.ENSP00000274137,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000356972,9606.ENSP00000357360,9606.ENSP00000357823,9606.ENSP00000362060,9606.ENSP00000364649,9606.ENSP00000419740	NDUFS7,NDUFA2,NDUFS3,NDUFA9,NDUFS6,NDUFV1,NDUFV2,NDUFS2,MTX1,MRPL9,NDUFS5,SDHB,NSUN4
