"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0045070~positive regulation of viral genome replication"	0.748355576739752	1	239	10	1
"GO:0001675~acrosome assembly"	0.748355576739752	1	239	10	1
"GO:0031076~embryonic camera-type eye development"	0.748355576739752	1	239	10	1
"GO:0007080~mitotic metaphase plate congression"	0.748355576739752	1	239	10	1
"GO:0046689~response to mercury ion"	0.748355576739752	1	239	10	1
"GO:0034504~protein localization to nucleus"	0.705498433882609	1	239	21	2
"GO:0000079~regulation of cyclin-dependent protein kinase activity"	0.681688910073086	0.0800728679767575	239	54	5
"GO:0051301~cell division"	0.67488618898465	1.98487126599406e-10	239	294	27
"GO:0000090~mitotic anaphase"	0.66653739492157	1	239	11	1
"GO:0019674~NAD metabolic process"	0.66653739492157	1	239	11	1
"GO:0050673~epithelial cell proliferation"	0.66653739492157	1	239	11	1
"GO:0090399~replicative senescence"	0.66653739492157	1	239	11	1
"GO:0006600~creatine metabolic process"	0.66653739492157	1	239	11	1
"GO:0009100~glycoprotein metabolic process"	0.66653739492157	1	239	11	1
"GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator"	0.66653739492157	1	239	11	1
"GO:0000281~cytokinesis after mitosis"	0.66653739492157	1	239	11	1
"GO:0045104~intermediate filament cytoskeleton organization"	0.66653739492157	1	239	11	1
"GO:0031032~actomyosin structure organization"	0.66653739492157	1	239	11	1
"GO:0045663~positive regulation of myoblast differentiation"	0.66653739492157	1	239	11	1
"GO:0048853~forebrain morphogenesis"	0.66653739492157	1	239	11	1
"GO:0010212~response to ionizing radiation"	0.630964272391926	0.259251735005569	239	46	4
"GO:0000086~G2/M transition of mitotic cell cycle"	0.617586345970521	0.00180794442738271	239	117	10
"GO:0051272~positive regulation of cellular component movement"	0.598355576739752	1	239	12	1
"GO:0050672~negative regulation of lymphocyte proliferation"	0.598355576739752	1	239	12	1
"GO:0051131~chaperone-mediated protein complex assembly"	0.598355576739752	1	239	12	1
"GO:0031293~membrane protein intracellular domain proteolysis"	0.598355576739752	1	239	12	1
"GO:0002437~inflammatory response to antigenic stimulus"	0.598355576739752	1	239	12	1
"GO:0050919~negative chemotaxis"	0.598355576739752	1	239	12	1
"GO:0048812~neuron projection morphogenesis"	0.578085306469482	0.626315226705596	239	37	3
"GO:0006260~DNA replication"	0.568355576739752	0.000712096745461029	239	150	12
"GO:0045931~positive regulation of mitotic cell cycle"	0.568355576739752	1	239	25	2
"GO:0051276~chromosome organization"	0.568355576739752	1	239	25	2
"GO:0033554~cellular response to stress"	0.540663269047444	1	239	13	1
"GO:0021542~dentate gyrus development"	0.540663269047444	1	239	13	1
"GO:0030903~notochord development"	0.540663269047444	1	239	13	1
"GO:0007018~microtubule-based movement"	0.540663269047444	0.0360622252931491	239	91	7
"GO:0043488~regulation of mRNA stability"	0.540663269047444	1	239	13	1
"GO:0042176~regulation of protein catabolic process"	0.540663269047444	1	239	13	1
"GO:0009411~response to UV"	0.540663269047444	0.67607508430201	239	39	3
"GO:0045190~isotype switching"	0.540663269047444	1	239	13	1
"GO:0006309~apoptotic DNA fragmentation"	0.540663269047444	1	239	26	2
"GO:0006656~phosphatidylcholine biosynthetic process"	0.540663269047444	1	239	13	1
"GO:0014911~positive regulation of smooth muscle cell migration"	0.540663269047444	1	239	13	1
"GO:0000278~mitotic cell cycle"	0.508906035455348	1.26315439817818e-07	239	327	24
"GO:0016043~cellular component organization"	0.491212719596895	1	239	14	1
"GO:0002407~dendritic cell chemotaxis"	0.491212719596895	1	239	14	1
"GO:0070536~protein K63-linked deubiquitination"	0.491212719596895	1	239	14	1
"GO:0000132~establishment of mitotic spindle orientation"	0.491212719596895	1	239	14	1
"GO:0006607~NLS-bearing substrate import into nucleus"	0.491212719596895	1	239	14	1
"GO:0042573~retinoic acid metabolic process"	0.491212719596895	1	239	14	1
"GO:0051281~positive regulation of release of sequestered calcium ion into cytosol"	0.491212719596895	1	239	14	1
"GO:0043122~regulation of I-kappaB kinase/NF-kappaB cascade"	0.491212719596895	1	239	14	1
"GO:0043981~histone H4-K5 acetylation"	0.491212719596895	1	239	14	1
"GO:0043982~histone H4-K8 acetylation"	0.491212719596895	1	239	14	1
"GO:0016601~Rac protein signal transduction"	0.491212719596895	1	239	14	1
"GO:0006703~estrogen biosynthetic process"	0.491212719596895	1	239	14	1
"GO:0034080~CenH3-containing nucleosome assembly at centromere"	0.469045231912166	1	239	29	2
"GO:0006412~translation"	0.461991940376115	7.75651526919979e-06	239	265	19
"GO:0006364~rRNA processing"	0.461991940376115	0.127090074674474	239	88	6
"GO:0042776~mitochondrial ATP synthesis coupled proton transport"	0.448355576739752	1	239	15	1
"GO:0000075~cell cycle checkpoint"	0.448355576739752	0.0216153340561804	239	135	9
"GO:0006662~glycerol ether metabolic process"	0.448355576739752	1	239	15	1
"GO:0034976~response to endoplasmic reticulum stress"	0.448355576739752	1	239	15	1
"GO:0010800~positive regulation of peptidyl-threonine phosphorylation"	0.448355576739752	1	239	15	1
"GO:0006956~complement activation"	0.448355576739752	0.923121042728181	239	45	3
"GO:0045840~positive regulation of mitosis"	0.448355576739752	1	239	30	2
"GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"	0.448355576739752	1	239	15	1
"GO:0042462~eye photoreceptor cell development"	0.448355576739752	1	239	15	1
"GO:0006302~double-strand break repair"	0.438519511165982	0.540810062154074	239	61	4
"GO:0006310~DNA recombination"	0.435312098478882	0.154917868032809	239	92	6
"GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process"	0.429000738030075	1	239	31	2
"GO:0015986~ATP synthesis coupled proton transport"	0.410855576739752	1	239	16	1
"GO:0022604~regulation of cell morphogenesis"	0.410855576739752	1	239	16	1
"GO:0006139~nucleobase-containing compound metabolic process"	0.410855576739752	0.612643377062113	239	64	4
"GO:0043409~negative regulation of MAPK cascade"	0.410855576739752	1	239	16	1
"GO:0043393~regulation of protein binding"	0.410855576739752	1	239	16	1
"GO:0045184~establishment of protein localization"	0.410855576739752	1	239	16	1
"GO:0008633~activation of pro-apoptotic gene products"	0.410855576739752	1	239	32	2
"GO:0007088~regulation of mitosis"	0.410855576739752	1	239	16	1
"GO:0009395~phospholipid catabolic process"	0.410855576739752	1	239	16	1
"GO:0006164~purine nucleotide biosynthetic process"	0.410855576739752	1	239	16	1
"GO:0007050~cell cycle arrest"	0.406495111623473	0.0545464798475314	239	129	8
"GO:0000724~double-strand break repair via homologous recombination"	0.399375984903017	1	239	49	3
"GO:0006921~cellular component disassembly involved in apoptotic process"	0.399375984903017	1	239	49	3
"GO:0046677~response to antibiotic"	0.393810122194297	1	239	33	2
"GO:0006974~response to DNA damage stimulus"	0.381250313581857	0.0421778319384321	239	152	9
"GO:0031290~retinal ganglion cell axon guidance"	0.377767341445634	1	239	17	1
"GO:0031532~actin cytoskeleton reorganization"	0.377767341445634	1	239	34	2
"GO:0048384~retinoic acid receptor signaling pathway"	0.377767341445634	1	239	17	1
"GO:0021772~olfactory bulb development"	0.377767341445634	1	239	17	1
"GO:0034605~cellular response to heat"	0.377767341445634	1	239	17	1
"GO:0050930~induction of positive chemotaxis"	0.377767341445634	1	239	17	1
"GO:0045736~negative regulation of cyclin-dependent protein kinase activity"	0.377767341445634	1	239	17	1
"GO:0016071~mRNA metabolic process"	0.375552229459417	0.00084620992924793	239	240	15
"GO:0006385~transcription elongation from RNA polymerase III promoter"	0.348355576739752	1	239	18	1
"GO:0006386~termination of RNA polymerase III transcription"	0.348355576739752	1	239	18	1
"GO:0006298~mismatch repair"	0.348355576739752	1	239	18	1
"GO:0009083~branched chain family amino acid catabolic process"	0.348355576739752	1	239	18	1
"GO:0035338~long-chain fatty-acyl-CoA biosynthetic process"	0.348355576739752	1	239	18	1
"GO:0090200~positive regulation of release of cytochrome c from mitochondria"	0.348355576739752	1	239	18	1
"GO:0002026~regulation of the force of heart contraction"	0.348355576739752	1	239	18	1
"GO:0042730~fibrinolysis"	0.348355576739752	1	239	18	1
"GO:0050769~positive regulation of neurogenesis"	0.348355576739752	1	239	18	1
"GO:0048863~stem cell differentiation"	0.348355576739752	1	239	18	1
"GO:0001916~positive regulation of T cell mediated cytotoxicity"	0.348355576739752	1	239	18	1
"GO:0046320~regulation of fatty acid oxidation"	0.348355576739752	1	239	18	1
"GO:0045926~negative regulation of growth"	0.348355576739752	1	239	18	1
"GO:0034394~protein localization at cell surface"	0.348355576739752	1	239	18	1
"GO:0048699~generation of neurons"	0.348355576739752	1	239	18	1
"GO:0051297~centrosome organization"	0.348355576739752	1	239	18	1
"GO:0006509~membrane protein ectodomain proteolysis"	0.348355576739752	1	239	18	1
"GO:0046716~muscle cell homeostasis"	0.348355576739752	1	239	18	1
"GO:0001662~behavioral fear response"	0.348355576739752	1	239	18	1
"GO:0002052~positive regulation of neuroblast proliferation"	0.348355576739752	1	239	18	1
"GO:0006513~protein monoubiquitination"	0.348355576739752	1	239	18	1
"GO:0050776~regulation of immune response"	0.339264667648843	0.335800370558409	239	110	6
"GO:0006289~nucleotide-excision repair"	0.334842063226238	0.849336234637527	239	74	4
"GO:0016485~protein processing"	0.334842063226238	1	239	37	2
"GO:0010243~response to organic nitrogen"	0.322039787266068	1	239	38	2
"GO:0006383~transcription from RNA polymerase III promoter"	0.322039787266068	1	239	38	2
"GO:0045454~cell redox homeostasis"	0.322039787266068	1	239	57	3
"GO:0045453~bone resorption"	0.322039787266068	1	239	19	1
"GO:0006297~nucleotide-excision repair, DNA gap filling"	0.322039787266068	1	239	19	1
"GO:0006939~smooth muscle contraction"	0.322039787266068	1	239	19	1
"GO:0001578~microtubule bundle formation"	0.322039787266068	1	239	19	1
"GO:0046209~nitric oxide metabolic process"	0.322039787266068	1	239	19	1
"GO:0032147~activation of protein kinase activity"	0.322039787266068	1	239	19	1
"GO:0006606~protein import into nucleus"	0.322039787266068	1	239	38	2
"GO:0043029~T cell homeostasis"	0.322039787266068	1	239	19	1
"GO:0015949~nucleobase-containing small molecule interconversion"	0.322039787266068	1	239	19	1
"GO:0007049~cell cycle"	0.310806169625127	0.0169703384789715	239	253	13
"GO:0000080~G1 phase of mitotic cell cycle"	0.309894038278213	1	239	39	2
"GO:0016070~RNA metabolic process"	0.304877315870187	0.00370152903478657	239	277	15
"GO:0048015~phosphatidylinositol-mediated signaling"	0.298355576739752	0.969117672426922	239	80	4
"GO:0048477~oogenesis"	0.298355576739752	1	239	20	1
"GO:0006261~DNA-dependent DNA replication"	0.298355576739752	1	239	20	1
"GO:0042326~negative regulation of phosphorylation"	0.298355576739752	1	239	20	1
"GO:0007257~activation of JUN kinase activity"	0.298355576739752	1	239	40	2
"GO:0030010~establishment of cell polarity"	0.298355576739752	1	239	20	1
"GO:0046686~response to cadmium ion"	0.298355576739752	1	239	20	1
"GO:0048568~embryonic organ development"	0.298355576739752	1	239	20	1
"GO:0045214~sarcomere organization"	0.298355576739752	1	239	20	1
"GO:0048709~oligodendrocyte differentiation"	0.298355576739752	1	239	20	1
"GO:0042744~hydrogen peroxide catabolic process"	0.298355576739752	1	239	20	1
"GO:0007568~aging"	0.287379966983654	0.498183485709588	239	123	6
"GO:0016032~viral reproduction"	0.282090516498788	0.00254108785738489	239	333	17
"GO:0000226~microtubule cytoskeleton organization"	0.276927005311180	1	239	63	3
"GO:0015914~phospholipid transport"	0.276927005311180	1	239	21	1
"GO:0042098~T cell proliferation"	0.276927005311180	1	239	21	1
"GO:0032259~methylation"	0.276927005311180	1	239	21	1
"GO:0032201~telomere maintenance via semi-conservative replication"	0.276927005311180	1	239	21	1
"GO:0034644~cellular response to UV"	0.276927005311180	1	239	21	1
"GO:0030449~regulation of complement activation"	0.276927005311180	1	239	21	1
"GO:0050999~regulation of nitric-oxide synthase activity"	0.276927005311180	1	239	21	1
"GO:0034341~response to interferon-gamma"	0.276927005311180	1	239	21	1
"GO:0016486~peptide hormone processing"	0.276927005311180	1	239	21	1
"GO:0043388~positive regulation of DNA binding"	0.276927005311180	1	239	21	1
"GO:0046034~ATP metabolic process"	0.276927005311180	1	239	21	1
"GO:0071333~cellular response to glucose stimulus"	0.276927005311180	1	239	21	1
"GO:0006281~DNA repair"	0.275474220807549	0.0213784338133988	239	295	14
"GO:0031145~anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process"	0.271884988504458	1	239	85	4
"GO:0060337~type I interferon-mediated signaling pathway"	0.266960227902543	1	239	86	4
"GO:0044267~cellular protein metabolic process"	0.265881349935628	0.00175471487638316	239	389	19
"GO:0000082~G1/S transition of mitotic cell cycle"	0.257446485830661	0.447846334960591	239	154	7
"GO:0008156~negative regulation of DNA replication"	0.257446485830661	1	239	22	1
"GO:0030902~hindbrain development"	0.257446485830661	1	239	22	1
"GO:0046488~phosphatidylinositol metabolic process"	0.257446485830661	1	239	22	1
"GO:0021987~cerebral cortex development"	0.257446485830661	1	239	44	2
"GO:0030177~positive regulation of Wnt receptor signaling pathway"	0.257446485830661	1	239	22	1
"GO:0008045~motor axon guidance"	0.257446485830661	1	239	22	1
"GO:0033344~cholesterol efflux"	0.257446485830661	1	239	22	1
"GO:0050918~positive chemotaxis"	0.257446485830661	1	239	22	1
"GO:0006611~protein export from nucleus"	0.257446485830661	1	239	22	1
"GO:0007220~Notch receptor processing"	0.257446485830661	1	239	22	1
"GO:0051781~positive regulation of cell division"	0.248355576739752	1	239	45	2
"GO:0051726~regulation of cell cycle"	0.248355576739752	1	239	90	4
"GO:0032868~response to insulin stimulus"	0.245414400269164	1	239	68	3
"GO:0007368~determination of left/right symmetry"	0.239659924565839	1	239	46	2
"GO:0006090~pyruvate metabolic process"	0.239659924565839	1	239	23	1
"GO:0021510~spinal cord development"	0.239659924565839	1	239	23	1
"GO:0008643~carbohydrate transport"	0.239659924565839	1	239	23	1
"GO:0000718~nucleotide-excision repair, DNA damage removal"	0.239659924565839	1	239	23	1
"GO:0050790~regulation of catalytic activity"	0.239659924565839	1	239	23	1
"GO:0045739~positive regulation of DNA repair"	0.239659924565839	1	239	23	1
"GO:0008283~cell proliferation"	0.237404568094219	0.0295791855742327	239	347	15
"GO:0006283~transcription-coupled nucleotide-excision repair"	0.231334300144007	1	239	47	2
"GO:0071277~cellular response to calcium ion"	0.223355576739752	1	239	24	1
"GO:0051412~response to corticosterone stimulus"	0.223355576739752	1	239	24	1
"GO:0006418~tRNA aminoacylation for protein translation"	0.223355576739752	1	239	48	2
"GO:0042755~eating behavior"	0.223355576739752	1	239	24	1
"GO:0035115~embryonic forelimb morphogenesis"	0.223355576739752	1	239	24	1
"GO:0007160~cell-matrix adhesion"	0.213220441604617	1	239	74	3
"GO:0051602~response to electrical stimulus"	0.208355576739752	1	239	25	1
"GO:0000722~telomere maintenance via recombination"	0.208355576739752	1	239	25	1
"GO:0001836~release of cytochrome c from mitochondria"	0.208355576739752	1	239	25	1
"GO:0030325~adrenal gland development"	0.208355576739752	1	239	25	1
"GO:0045787~positive regulation of cell cycle"	0.208355576739752	1	239	25	1
"GO:0030030~cell projection organization"	0.208355576739752	1	239	25	1
"GO:0042246~tissue regeneration"	0.208355576739752	1	239	25	1
"GO:0000045~autophagic vacuole assembly"	0.208355576739752	1	239	25	1
"GO:0048514~blood vessel morphogenesis"	0.208355576739752	1	239	25	1
"GO:0006979~response to oxidative stress"	0.205498433882609	1	239	126	5
"GO:0010467~gene expression"	0.203439036527309	0.00084620992924793	239	660	27
"GO:0043085~positive regulation of catalytic activity"	0.201296753210340	1	239	51	2
"GO:0009615~response to virus"	0.199004927389103	0.954447100356242	239	154	6
"GO:0043392~negative regulation of DNA binding"	0.194509422893598	1	239	26	1
"GO:0001654~eye development"	0.194509422893598	1	239	26	1
"GO:0051225~spindle assembly"	0.194509422893598	1	239	26	1
"GO:0051439~regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	0.185855576739752	1	239	80	3
"GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process"	0.185855576739752	1	239	80	3
"GO:0006334~nucleosome assembly"	0.184804174870593	1	239	107	4
"GO:0007346~regulation of mitotic cell cycle"	0.181688910073085	1	239	27	1
"GO:0007131~reciprocal meiotic recombination"	0.181688910073085	1	239	27	1
"GO:0001824~blastocyst development"	0.181688910073085	1	239	27	1
"GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent"	0.181688910073085	1	239	27	1
"GO:0042771~DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis"	0.181688910073085	1	239	27	1
"GO:0043526~neuroprotection"	0.181688910073085	1	239	27	1
"GO:0043928~exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay"	0.181688910073085	1	239	27	1
"GO:0042493~response to drug"	0.179643920298034	0.266827339555978	239	326	12
"GO:0006633~fatty acid biosynthetic process"	0.175628304012479	1	239	55	2
"GO:0009408~response to heat"	0.169784148168323	1	239	56	2
"GO:0010811~positive regulation of cell-substrate adhesion"	0.169784148168323	1	239	28	1
"GO:0050690~regulation of defense response to virus by virus"	0.169784148168323	1	239	28	1
"GO:0007286~spermatid development"	0.164145050423963	1	239	57	2
"GO:0018279~protein N-linked glycosylation via asparagine"	0.162309065111845	1	239	86	3
"GO:0001975~response to amphetamine"	0.158700404325959	1	239	29	1
"GO:0033077~T cell differentiation in thymus"	0.158700404325959	1	239	29	1
"GO:0018107~peptidyl-threonine phosphorylation"	0.158700404325959	1	239	29	1
"GO:0051592~response to calcium ion"	0.158700404325959	1	239	58	2
"GO:0001890~placenta development"	0.158700404325959	1	239	29	1
"GO:0051865~protein autoubiquitination"	0.158700404325959	1	239	29	1
"GO:0048589~developmental growth"	0.158700404325959	1	239	29	1
"GO:0010951~negative regulation of endopeptidase activity"	0.153440322502464	1	239	59	2
"GO:0018105~peptidyl-serine phosphorylation"	0.153440322502464	1	239	59	2
"GO:0010033~response to organic substance"	0.151726363256606	1	239	89	3
"GO:0006370~mRNA capping"	0.148355576739752	1	239	30	1
"GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process"	0.148355576739752	1	239	30	1
"GO:0007254~JNK cascade"	0.148355576739752	1	239	60	2
"GO:0071310~cellular response to organic substance"	0.148355576739752	1	239	30	1
"GO:0006271~DNA strand elongation involved in DNA replication"	0.148355576739752	1	239	30	1
"GO:0019827~stem cell maintenance"	0.148355576739752	1	239	30	1
"GO:0009888~tissue development"	0.148355576739752	1	239	30	1
"GO:0071347~cellular response to interleukin-1"	0.148355576739752	1	239	30	1
"GO:0016477~cell migration"	0.143437543952867	1	239	122	4
"GO:0032869~cellular response to insulin stimulus"	0.143437543952867	1	239	61	2
"GO:0007584~response to nutrient"	0.141833837609317	1	239	92	3
"GO:0030073~insulin secretion"	0.138678157384913	1	239	31	1
"GO:0007517~muscle organ development"	0.138678157384913	1	239	93	3
"GO:0060271~cilium morphogenesis"	0.138678157384913	1	239	31	1
"GO:0006488~dolichol-linked oligosaccharide biosynthetic process"	0.138678157384913	1	239	31	1
"GO:0006605~protein targeting"	0.129605576739752	1	239	32	1
"GO:0051056~regulation of small GTPase mediated signal transduction"	0.122745820642191	1	239	164	5
"GO:0022904~respiratory electron transport chain"	0.121082849467025	1	239	99	3
"GO:0001933~negative regulation of protein phosphorylation"	0.121082849467025	1	239	33	1
"GO:0021915~neural tube development"	0.121082849467025	1	239	33	1
"GO:0015992~proton transport"	0.121082849467025	1	239	33	1
"GO:0031667~response to nutrient levels"	0.121082849467025	1	239	33	1
"GO:0000398~nuclear mRNA splicing, via spliceosome"	0.117816654584063	1	239	167	5
"GO:0048538~thymus development"	0.113061459092693	1	239	34	1
"GO:0070936~protein K48-linked ubiquitination"	0.113061459092693	1	239	34	1
"GO:0050727~regulation of inflammatory response"	0.113061459092693	1	239	34	1
"GO:0032092~positive regulation of protein binding"	0.113061459092693	1	239	34	1
"GO:0007420~brain development"	0.105498433882609	1	239	210	6
"GO:0014823~response to activity"	0.105498433882609	1	239	35	1
"GO:0007229~integrin-mediated signaling pathway"	0.101876703500315	1	239	71	2
"GO:0007399~nervous system development"	0.101480576739752	1	239	320	9
"GO:0007596~blood coagulation"	0.0988909086455336	0.960635781728708	239	467	13
"GO:0002053~positive regulation of mesenchymal cell proliferation"	0.098355576739752	1	239	36	1
"GO:0045727~positive regulation of translation"	0.098355576739752	1	239	36	1
"GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	0.098355576739752	1	239	72	2
"GO:0043065~positive regulation of apoptotic process"	0.098355576739752	1	239	216	6
"GO:0071377~cellular response to glucagon stimulus"	0.098355576739752	1	239	36	1
"GO:0034613~cellular protein localization"	0.098355576739752	1	239	36	1
"GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"	0.0949309192055055	1	239	73	2
"GO:0045087~innate immune response"	0.0923314803542099	1	239	332	9
"GO:0009749~response to glucose stimulus"	0.0915988199829953	1	239	74	2
"GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway"	0.0915988199829953	1	239	37	1
"GO:0008206~bile acid metabolic process"	0.0915988199829953	1	239	37	1
"GO:0007631~feeding behavior"	0.0915988199829953	1	239	37	1
"GO:0032870~cellular response to hormone stimulus"	0.0915988199829953	1	239	37	1
"GO:0010923~negative regulation of phosphatase activity"	0.0915988199829953	1	239	37	1
"GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle"	0.0851976820029098	1	239	76	2
"GO:0040007~growth"	0.0851976820029098	1	239	38	1
"GO:0016358~dendrite development"	0.0851976820029098	1	239	38	1
"GO:0045429~positive regulation of nitric oxide biosynthetic process"	0.0851976820029098	1	239	38	1
"GO:0007219~Notch signaling pathway"	0.0831381854354043	1	239	115	3
"GO:0006461~protein complex assembly"	0.0811141974294071	1	239	116	3
"GO:0006635~fatty acid beta-oxidation"	0.0791248075089827	1	239	39	1
"GO:0002576~platelet degranulation"	0.0791248075089827	1	239	78	2
"GO:0009611~response to wounding"	0.0791248075089827	1	239	78	2
"GO:0006367~transcription initiation from RNA polymerase II promoter"	0.0762036780055748	1	239	158	4
"GO:0045892~negative regulation of transcription, DNA-dependent"	0.0754197969232382	1	239	436	11
"GO:0000084~S phase of mitotic cell cycle"	0.075246333042273	1	239	119	3
"GO:0007605~sensory perception of sound"	0.075246333042273	1	239	119	3
"GO:0006950~response to stress"	0.0747706710793747	1	239	159	4
"GO:0008645~hexose transport"	0.073355576739752	1	239	40	1
"GO:0007249~I-kappaB kinase/NF-kappaB cascade"	0.073355576739752	1	239	40	1
"GO:0043966~histone H3 acetylation"	0.073355576739752	1	239	40	1
"GO:0007224~smoothened signaling pathway"	0.073355576739752	1	239	40	1
"GO:0043066~negative regulation of apoptotic process"	0.0726546421603128	1	239	321	8
"GO:0008544~epidermis development"	0.0678677718617032	1	239	82	2
"GO:0042254~ribosome biogenesis"	0.0678677718617032	1	239	41	1
"GO:0006200~ATP catabolic process"	0.0652230466192701	1	239	83	2
"GO:0045768~positive regulation of anti-apoptosis"	0.0626412910254663	1	239	42	1
"GO:0008277~regulation of G-protein coupled receptor protein signaling pathway"	0.0626412910254663	1	239	42	1
"GO:0001947~heart looping"	0.0626412910254663	1	239	42	1
"GO:0006120~mitochondrial electron transport, NADH to ubiquinone"	0.0576579023211473	1	239	43	1
"GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process"	0.0576579023211473	1	239	43	1
"GO:0030163~protein catabolic process"	0.0576579023211473	1	239	43	1
"GO:0006096~glycolysis"	0.0576579023211473	1	239	43	1
"GO:0008629~induction of apoptosis by intracellular signals"	0.0576579023211473	1	239	43	1
"GO:0035556~intracellular signal transduction"	0.0569648482629308	1	239	302	7
"GO:0007595~lactation"	0.0529010312852066	1	239	44	1
"GO:0019432~triglyceride biosynthetic process"	0.0529010312852066	1	239	44	1
"GO:0007623~circadian rhythm"	0.0529010312852066	1	239	44	1
"GO:0007266~Rho protein signal transduction"	0.0529010312852066	1	239	44	1
"GO:0021766~hippocampus development"	0.0529010312852066	1	239	44	1
"GO:0071456~cellular response to hypoxia"	0.0529010312852066	1	239	44	1
"GO:0010976~positive regulation of neuron projection development"	0.048355576739752	1	239	45	1
"GO:0051028~mRNA transport"	0.0440077506527954	1	239	46	1
"GO:0008015~blood circulation"	0.0440077506527954	1	239	46	1
"GO:0006767~water-soluble vitamin metabolic process"	0.0440077506527954	1	239	46	1
"GO:0007264~small GTPase mediated signal transduction"	0.0422017305859059	1	239	325	7
"GO:0042542~response to hydrogen peroxide"	0.0398449384418797	1	239	47	1
"GO:0030521~androgen receptor signaling pathway"	0.0398449384418797	1	239	47	1
"GO:0030036~actin cytoskeleton organization"	0.0384964218101745	1	239	142	3
"GO:0019221~cytokine-mediated signaling pathway"	0.0371667655509409	1	239	286	6
"GO:0051384~response to glucocorticoid stimulus"	0.0358555767397519	1	239	96	2
"GO:0006986~response to unfolded protein"	0.0358555767397519	1	239	48	1
"GO:0090263~positive regulation of canonical Wnt receptor signaling pathway"	0.0358555767397519	1	239	48	1
"GO:0044255~cellular lipid metabolic process"	0.0345624732914762	1	239	145	3
"GO:0006468~protein phosphorylation"	0.0320290461275071	1	239	588	12
"GO:0050434~positive regulation of viral transcription"	0.0320290461275071	1	239	49	1
"GO:0032088~negative regulation of NF-kappaB transcription factor activity"	0.0320290461275071	1	239	49	1
"GO:0016567~protein ubiquitination"	0.0301737585579338	1	239	297	6
"GO:0048839~inner ear development"	0.028355576739752	1	239	50	1
"GO:0071300~cellular response to retinoic acid"	0.028355576739752	1	239	50	1
"GO:0035264~multicellular organism growth"	0.0248261649750461	1	239	51	1
"GO:0006914~autophagy"	0.0248261649750461	1	239	51	1
"GO:0006917~induction of apoptosis"	0.0239653328373130	1	239	205	4
"GO:0046330~positive regulation of JNK cascade"	0.021432499816675	1	239	52	1
"GO:0042384~cilium assembly"	0.021432499816675	1	239	52	1
"GO:0016049~cell growth"	0.021432499816675	1	239	52	1
"GO:0071260~cellular response to mechanical stimulus"	0.021432499816675	1	239	52	1
"GO:0007409~axonogenesis"	0.0197841481683234	1	239	105	2
"GO:0030198~extracellular matrix organization"	0.0197841481683234	1	239	105	2
"GO:0000723~telomere maintenance"	0.0181668974944690	1	239	53	1
"GO:0000288~nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	0.0181668974944690	1	239	53	1
"GO:0008624~induction of apoptosis by extracellular signals"	0.0181668974944690	1	239	106	2
"GO:0006112~energy reserve metabolic process"	0.0165798758051725	1	239	107	2
"GO:0001701~in utero embryonic development"	0.0157974372048683	1	239	215	4
"GO:0006766~vitamin metabolic process"	0.0150222434064187	1	239	54	1
"GO:0045665~negative regulation of neuron differentiation"	0.0150222434064187	1	239	54	1
"GO:0008285~negative regulation of cell proliferation"	0.0145824896685118	1	239	379	7
"GO:0035335~peptidyl-tyrosine dephosphorylation"	0.0119919403761157	1	239	55	1
"GO:0042632~cholesterol homeostasis"	0.0119919403761157	1	239	55	1
"GO:0051090~regulation of sequence-specific DNA binding transcription factor activity"	0.0119919403761157	1	239	55	1
"GO:0043687~post-translational protein modification"	0.0100322234463387	1	239	167	3
"GO:0060041~retina development in camera-type eye"	0.00906986245403766	1	239	56	1
"GO:0006955~immune response"	0.00729597409074537	1	239	453	8
"GO:0051591~response to cAMP"	0.0062503135818572	1	239	57	1
"GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity"	0.0062503135818572	1	239	57	1
"GO:0006915~apoptotic process"	0.00601981031639443	1	239	685	12
"GO:0015758~glucose transport"	0.00352799053285537	1	239	58	1
"GO:0008033~tRNA processing"	0.00352799053285537	1	239	58	1
"GO:0018108~peptidyl-tyrosine phosphorylation"	0.00352799053285537	1	239	58	1
"GO:0031100~organ regeneration"	0.00352799053285537	1	239	58	1
