"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"GO:0071549~cellular response to dexamethasone stimulus"	0.744947755948197	1	255	10	1
"GO:0008361~regulation of cell size"	0.744947755948197	1	255	10	1
"GO:0008635~activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c"	0.744947755948197	1	255	10	1
"GO:0006625~protein targeting to peroxisome"	0.744947755948197	1	255	10	1
"GO:0055008~cardiac muscle tissue morphogenesis"	0.744947755948197	1	255	10	1
"GO:0042744~hydrogen peroxide catabolic process"	0.744947755948197	1	255	20	2
"GO:0045226~extracellular polysaccharide biosynthetic process"	0.744947755948197	1	255	10	1
"GO:0045446~endothelial cell differentiation"	0.744947755948197	1	255	10	1
"GO:0046689~response to mercury ion"	0.744947755948197	1	255	10	1
"GO:0043525~positive regulation of neuron apoptotic process"	0.722996536436002	0.446954603465099	255	41	4
"GO:0006699~bile acid biosynthetic process"	0.702090613091054	1	255	21	2
"GO:0030449~regulation of complement activation"	0.702090613091054	1	255	21	2
"GO:0006958~complement activation, classical pathway"	0.702090613091054	0.446954603465099	255	42	4
"GO:0001702~gastrulation with mouth forming second"	0.663129574130015	1	255	22	2
"GO:0051927~negative regulation of calcium ion transport via voltage-gated calcium channel activity"	0.663129574130015	1	255	11	1
"GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process"	0.663129574130015	1	255	11	1
"GO:0014902~myotube differentiation"	0.663129574130015	1	255	11	1
"GO:0035815~positive regulation of renal sodium excretion"	0.663129574130015	1	255	11	1
"GO:0030195~negative regulation of blood coagulation"	0.663129574130015	1	255	11	1
"GO:0010875~positive regulation of cholesterol efflux"	0.663129574130015	1	255	11	1
"GO:0006707~cholesterol catabolic process"	0.663129574130015	1	255	11	1
"GO:0034374~low-density lipoprotein particle remodeling"	0.663129574130015	1	255	11	1
"GO:0033700~phospholipid efflux"	0.663129574130015	1	255	11	1
"GO:0051000~positive regulation of nitric-oxide synthase activity"	0.663129574130015	1	255	11	1
"GO:0016558~protein import into peroxisome matrix"	0.663129574130015	1	255	11	1
"GO:0050767~regulation of neurogenesis"	0.663129574130015	1	255	11	1
"GO:0006600~creatine metabolic process"	0.663129574130015	1	255	11	1
"GO:0032886~regulation of microtubule-based process"	0.663129574130015	1	255	11	1
"GO:0007220~Notch receptor processing"	0.663129574130015	1	255	22	2
"GO:0007168~receptor guanylyl cyclase signaling pathway"	0.663129574130015	1	255	11	1
"GO:0033993~response to lipid"	0.663129574130015	1	255	11	1
"GO:0007589~body fluid secretion"	0.663129574130015	1	255	11	1
"GO:0033540~fatty acid beta-oxidation using acyl-CoA oxidase"	0.663129574130015	1	255	11	1
"GO:0032312~regulation of ARF GTPase activity"	0.62755645160037	1	255	23	2
"GO:0009103~lipopolysaccharide biosynthetic process"	0.594947755948196	0.642643664355715	255	48	4
"GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator"	0.594947755948196	1	255	12	1
"GO:0035810~positive regulation of urine volume"	0.594947755948196	1	255	12	1
"GO:0051272~positive regulation of cellular component movement"	0.594947755948196	1	255	12	1
"GO:0043922~negative regulation by host of viral transcription"	0.594947755948196	1	255	12	1
"GO:0031116~positive regulation of microtubule polymerization"	0.594947755948196	1	255	12	1
"GO:0051482~elevation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway"	0.594947755948196	1	255	12	1
"GO:0030889~negative regulation of B cell proliferation"	0.594947755948196	1	255	12	1
"GO:0050901~leukocyte tethering or rolling"	0.594947755948196	1	255	12	1
"GO:0031293~membrane protein intracellular domain proteolysis"	0.594947755948196	1	255	12	1
"GO:0006693~prostaglandin metabolic process"	0.594947755948196	1	255	12	1
"GO:0019083~viral transcription"	0.569085686982679	0.159544748089878	255	87	7
"GO:0051276~chromosome organization"	0.564947755948197	1	255	25	2
"GO:0031640~killing of cells of other organism"	0.537255448255889	1	255	13	1
"GO:0071777~positive regulation of cell cycle cytokinesis"	0.537255448255889	1	255	13	1
"GO:0030903~notochord development"	0.537255448255889	1	255	13	1
"GO:0032784~regulation of transcription elongation, DNA-dependent"	0.537255448255889	1	255	13	1
"GO:0045088~regulation of innate immune response"	0.537255448255889	1	255	13	1
"GO:0043488~regulation of mRNA stability"	0.537255448255889	1	255	13	1
"GO:0043392~negative regulation of DNA binding"	0.537255448255889	1	255	26	2
"GO:0015012~heparan sulfate proteoglycan biosynthetic process"	0.537255448255889	1	255	13	1
"GO:0045190~isotype switching"	0.537255448255889	1	255	13	1
"GO:0042100~B cell proliferation"	0.537255448255889	1	255	13	1
"GO:0042149~cellular response to glucose starvation"	0.537255448255889	1	255	13	1
"GO:0009987~cellular process"	0.537255448255889	1	255	26	2
"GO:0051225~spindle assembly"	0.537255448255889	1	255	26	2
"GO:0030225~macrophage differentiation"	0.537255448255889	1	255	13	1
"GO:0048205~COPI coating of Golgi vesicle"	0.537255448255889	1	255	13	1
"GO:0042554~superoxide anion generation"	0.537255448255889	1	255	13	1
"GO:0050880~regulation of blood vessel size"	0.537255448255889	1	255	13	1
"GO:0006415~translational termination"	0.522367110786906	0.202867400752470	255	93	7
"GO:0048662~negative regulation of smooth muscle cell proliferation"	0.511614422614863	1	255	27	2
"GO:0019058~viral infectious cycle"	0.508105650685039	0.202867400752470	255	95	7
"GO:0016043~cellular component organization"	0.48780489880534	1	255	14	1
"GO:0042417~dopamine metabolic process"	0.48780489880534	1	255	14	1
"GO:0030949~positive regulation of vascular endothelial growth factor receptor signaling pathway"	0.48780489880534	1	255	14	1
"GO:0045638~negative regulation of myeloid cell differentiation"	0.48780489880534	1	255	14	1
"GO:0006978~DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"	0.48780489880534	1	255	14	1
"GO:0002028~regulation of sodium ion transport"	0.48780489880534	1	255	14	1
"GO:0019226~transmission of nerve impulse"	0.48780489880534	1	255	14	1
"GO:0000132~establishment of mitotic spindle orientation"	0.48780489880534	1	255	14	1
"GO:0051044~positive regulation of membrane protein ectodomain proteolysis"	0.48780489880534	1	255	14	1
"GO:0055088~lipid homeostasis"	0.48780489880534	1	255	14	1
"GO:0007340~acrosome reaction"	0.48780489880534	1	255	14	1
"GO:0006414~translational elongation"	0.474947755948197	0.244014076441875	255	100	7
"GO:0007094~mitotic cell cycle spindle assembly checkpoint"	0.46563741112061	1	255	29	2
"GO:0048589~developmental growth"	0.46563741112061	1	255	29	2
"GO:0010033~response to organic substance"	0.451689328981905	0.409216605462810	255	89	6
"GO:0007274~neuromuscular synaptic transmission"	0.444947755948197	1	255	15	1
"GO:0010800~positive regulation of peptidyl-threonine phosphorylation"	0.444947755948197	1	255	15	1
"GO:0007271~synaptic transmission, cholinergic"	0.444947755948197	1	255	15	1
"GO:0034375~high-density lipoprotein particle remodeling"	0.444947755948197	1	255	15	1
"GO:0001516~prostaglandin biosynthetic process"	0.444947755948197	1	255	15	1
"GO:0042523~positive regulation of tyrosine phosphorylation of Stat5 protein"	0.444947755948197	1	255	15	1
"GO:0006044~N-acetylglucosamine metabolic process"	0.444947755948197	1	255	15	1
"GO:0071347~cellular response to interleukin-1"	0.444947755948197	1	255	30	2
"GO:0006182~cGMP biosynthetic process"	0.444947755948197	1	255	15	1
"GO:0010212~response to ionizing radiation"	0.431904277687327	1	255	46	3
"GO:0022604~regulation of cell morphogenesis"	0.407447755948197	1	255	16	1
"GO:0071385~cellular response to glucocorticoid stimulus"	0.407447755948197	1	255	16	1
"GO:0007263~nitric oxide mediated signal transduction"	0.407447755948197	1	255	16	1
"GO:0002250~adaptive immune response"	0.407447755948197	1	255	16	1
"GO:0034199~activation of protein kinase A activity"	0.407447755948197	1	255	16	1
"GO:0030502~negative regulation of bone mineralization"	0.407447755948197	1	255	16	1
"GO:0042311~vasodilation"	0.407447755948197	1	255	16	1
"GO:0001101~response to acid"	0.407447755948197	1	255	16	1
"GO:0033198~response to ATP"	0.407447755948197	1	255	16	1
"GO:0042325~regulation of phosphorylation"	0.407447755948197	1	255	16	1
"GO:0009395~phospholipid catabolic process"	0.407447755948197	1	255	16	1
"GO:0006614~SRP-dependent cotranslational protein targeting to membrane"	0.402469879842002	0.366669838193357	255	113	7
"GO:0001938~positive regulation of endothelial cell proliferation"	0.384947755948197	1	255	50	3
"GO:0000302~response to reactive oxygen species"	0.374359520654079	1	255	17	1
"GO:0030111~regulation of Wnt receptor signaling pathway"	0.374359520654079	1	255	17	1
"GO:0046513~ceramide biosynthetic process"	0.374359520654079	1	255	17	1
"GO:0006801~superoxide metabolic process"	0.374359520654079	1	255	17	1
"GO:0007126~meiosis"	0.374359520654079	1	255	51	3
"GO:0051693~actin filament capping"	0.374359520654079	1	255	17	1
"GO:0045648~positive regulation of erythrocyte differentiation"	0.374359520654079	1	255	17	1
"GO:0030148~sphingolipid biosynthetic process"	0.374359520654079	1	255	34	2
"GO:0045859~regulation of protein kinase activity"	0.374359520654079	1	255	17	1
"GO:0006807~nitrogen compound metabolic process"	0.374359520654079	1	255	17	1
"GO:0043537~negative regulation of blood vessel endothelial cell migration"	0.374359520654079	1	255	17	1
"GO:0045747~positive regulation of Notch signaling pathway"	0.374359520654079	1	255	17	1
"GO:0060395~SMAD protein signal transduction"	0.374359520654079	1	255	17	1
"GO:0051491~positive regulation of filopodium assembly"	0.374359520654079	1	255	17	1
"GO:0007250~activation of NF-kappaB-inducing kinase activity"	0.374359520654079	1	255	17	1
"GO:0000070~mitotic sister chromatid segregation"	0.374359520654079	1	255	17	1
"GO:0051289~protein homotetramerization"	0.364178525178966	1	255	52	3
"GO:0014823~response to activity"	0.359233470233911	1	255	35	2
"GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway"	0.359233470233911	1	255	35	2
"GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	0.357142877899416	0.445538337884571	255	123	7
"GO:0009060~aerobic respiration"	0.344947755948197	1	255	18	1
"GO:0006937~regulation of muscle contraction"	0.344947755948197	1	255	18	1
"GO:0006298~mismatch repair"	0.344947755948197	1	255	18	1
"GO:0010575~positive regulation vascular endothelial growth factor production"	0.344947755948197	1	255	18	1
"GO:0006885~regulation of pH"	0.344947755948197	1	255	18	1
"GO:0002026~regulation of the force of heart contraction"	0.344947755948197	1	255	18	1
"GO:0071377~cellular response to glucagon stimulus"	0.344947755948197	1	255	36	2
"GO:0043691~reverse cholesterol transport"	0.344947755948197	1	255	18	1
"GO:0045665~negative regulation of neuron differentiation"	0.344947755948197	1	255	54	3
"GO:0006259~DNA metabolic process"	0.344947755948197	1	255	36	2
"GO:0006509~membrane protein ectodomain proteolysis"	0.344947755948197	1	255	18	1
"GO:0030041~actin filament polymerization"	0.344947755948197	1	255	18	1
"GO:0001709~cell fate determination"	0.344947755948197	1	255	18	1
"GO:0009190~cyclic nucleotide biosynthetic process"	0.344947755948197	1	255	18	1
"GO:0002052~positive regulation of neuroblast proliferation"	0.344947755948197	1	255	18	1
"GO:0042632~cholesterol homeostasis"	0.335856846857288	1	255	55	3
"GO:0008206~bile acid metabolic process"	0.331434242434683	1	255	37	2
"GO:0008016~regulation of heart contraction"	0.331434242434683	1	255	37	2
"GO:0048812~neuron projection morphogenesis"	0.331434242434683	1	255	37	2
"GO:0048146~positive regulation of fibroblast proliferation"	0.318631966474512	1	255	38	2
"GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB cascade"	0.318631966474512	1	255	19	1
"GO:0019433~triglyceride catabolic process"	0.318631966474512	1	255	19	1
"GO:0032757~positive regulation of interleukin-8 production"	0.318631966474512	1	255	19	1
"GO:0032715~negative regulation of interleukin-6 production"	0.318631966474512	1	255	19	1
"GO:0048168~regulation of neuronal synaptic plasticity"	0.318631966474512	1	255	19	1
"GO:0001578~microtubule bundle formation"	0.318631966474512	1	255	19	1
"GO:0030301~cholesterol transport"	0.318631966474512	1	255	19	1
"GO:0051898~negative regulation of protein kinase B signaling cascade"	0.318631966474512	1	255	19	1
"GO:0051930~regulation of sensory perception of pain"	0.318631966474512	1	255	19	1
"GO:0015949~nucleobase-containing small molecule interconversion"	0.318631966474512	1	255	19	1
"GO:0051384~response to glucocorticoid stimulus"	0.313697755948197	1	255	96	5
"GO:0000278~mitotic cell cycle"	0.312837664205078	0.0113233898674109	255	327	17
"GO:0009612~response to mechanical stimulus"	0.310464997327507	1	255	58	3
"GO:0000080~G1 phase of mitotic cell cycle"	0.306486217486658	1	255	39	2
"GO:0009411~response to UV"	0.306486217486658	1	255	39	2
"GO:0071356~cellular response to tumor necrosis factor"	0.306486217486658	1	255	39	2
"GO:0051301~cell division"	0.304131429417585	0.033816989073505	255	294	15
"GO:0030307~positive regulation of cell growth"	0.294947755948197	1	255	60	3
"GO:0008652~cellular amino acid biosynthetic process"	0.294947755948197	1	255	20	1
"GO:0048477~oogenesis"	0.294947755948197	1	255	20	1
"GO:0006378~mRNA polyadenylation"	0.294947755948197	1	255	20	1
"GO:0015711~organic anion transport"	0.294947755948197	1	255	20	1
"GO:0042326~negative regulation of phosphorylation"	0.294947755948197	1	255	20	1
"GO:0006413~translational initiation"	0.294947755948197	0.642643664355715	255	140	7
"GO:0014068~positive regulation of phosphatidylinositol 3-kinase cascade"	0.294947755948197	1	255	40	2
"GO:0048844~artery morphogenesis"	0.294947755948197	1	255	20	1
"GO:0031214~biomineral tissue development"	0.294947755948197	1	255	20	1
"GO:0045214~sarcomere organization"	0.294947755948197	1	255	20	1
"GO:0048709~oligodendrocyte differentiation"	0.294947755948197	1	255	20	1
"GO:0007568~aging"	0.283972146192099	0.856898293562502	255	123	6
"GO:0030155~regulation of cell adhesion"	0.283972146192099	1	255	41	2
"GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB cascade"	0.282447755948197	0.691671548855878	255	144	7
"GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process"	0.280431626915939	1	255	62	3
"GO:0006979~response to oxidative stress"	0.273519184519625	0.900953836723341	255	126	6
"GO:0018149~peptide cross-linking"	0.273519184519625	1	255	21	1
"GO:0070534~protein K63-linked ubiquitination"	0.273519184519625	1	255	21	1
"GO:0070371~ERK1 and ERK2 cascade"	0.273519184519625	1	255	21	1
"GO:0042098~T cell proliferation"	0.273519184519625	1	255	21	1
"GO:0038032~termination of G-protein coupled receptor signaling pathway"	0.273519184519625	1	255	42	2
"GO:0034644~cellular response to UV"	0.273519184519625	1	255	21	1
"GO:0046907~intracellular transport"	0.273519184519625	1	255	21	1
"GO:0044130~negative regulation of growth of symbiont in host"	0.273519184519625	1	255	21	1
"GO:0071333~cellular response to glucose stimulus"	0.273519184519625	1	255	21	1
"GO:0034504~protein localization to nucleus"	0.273519184519625	1	255	21	1
"GO:0008277~regulation of G-protein coupled receptor protein signaling pathway"	0.273519184519625	1	255	42	2
"GO:0006487~protein N-linked glycosylation"	0.273519184519625	1	255	21	1
"GO:0006626~protein targeting to mitochondrion"	0.263552407110987	1	255	43	2
"GO:0030032~lamellipodium assembly"	0.254038665039106	1	255	22	1
"GO:0045777~positive regulation of blood pressure"	0.254038665039106	1	255	22	1
"GO:0050714~positive regulation of protein secretion"	0.254038665039106	1	255	22	1
"GO:0050850~positive regulation of calcium-mediated signaling"	0.254038665039106	1	255	22	1
"GO:0006611~protein export from nucleus"	0.254038665039106	1	255	22	1
"GO:0006812~cation transport"	0.249442137970669	1	255	89	4
"GO:0006956~complement activation"	0.244947755948197	1	255	45	2
"GO:0032868~response to insulin stimulus"	0.242006579477609	1	255	68	3
"GO:0034220~ion transmembrane transport"	0.242006579477609	1	255	68	3
"GO:0007018~microtubule-based movement"	0.240552151552592	1	255	91	4
"GO:0032689~negative regulation of interferon-gamma production"	0.236252103774284	1	255	23	1
"GO:0007368~determination of left/right symmetry"	0.236252103774284	1	255	46	2
"GO:0030183~B cell differentiation"	0.236252103774284	1	255	46	2
"GO:0001937~negative regulation of endothelial cell proliferation"	0.236252103774284	1	255	23	1
"GO:0045907~positive regulation of vasoconstriction"	0.236252103774284	1	255	23	1
"GO:0006090~pyruvate metabolic process"	0.236252103774284	1	255	23	1
"GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein"	0.236252103774284	1	255	23	1
"GO:0007584~response to nutrient"	0.236252103774284	1	255	92	4
"GO:0008643~carbohydrate transport"	0.236252103774284	1	255	23	1
"GO:0031572~G2/M transition DNA damage checkpoint"	0.236252103774284	1	255	23	1
"GO:0055007~cardiac muscle cell differentiation"	0.236252103774284	1	255	23	1
"GO:0007243~intracellular protein kinase cascade"	0.223895124369249	1	255	95	4
"GO:0055093~response to hyperoxia"	0.219947755948197	1	255	24	1
"GO:0051899~membrane depolarization"	0.219947755948197	1	255	24	1
"GO:0071277~cellular response to calcium ion"	0.219947755948197	1	255	24	1
"GO:0001892~embryonic placenta development"	0.219947755948197	1	255	24	1
"GO:0090263~positive regulation of canonical Wnt receptor signaling pathway"	0.219947755948197	1	255	48	2
"GO:0051412~response to corticosterone stimulus"	0.219947755948197	1	255	24	1
"GO:0006418~tRNA aminoacylation for protein translation"	0.219947755948197	1	255	48	2
"GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity"	0.219947755948197	1	255	24	1
"GO:0035115~embryonic forelimb morphogenesis"	0.219947755948197	1	255	24	1
"GO:0071346~cellular response to interferon-gamma"	0.219947755948197	1	255	24	1
"GO:0002755~MyD88-dependent toll-like receptor signaling pathway"	0.214810769646827	1	255	73	3
"GO:0048661~positive regulation of smooth muscle cell proliferation"	0.212294694723707	1	255	49	2
"GO:0050728~negative regulation of inflammatory response"	0.212294694723707	1	255	49	2
"GO:0016525~negative regulation of angiogenesis"	0.212294694723707	1	255	49	2
"GO:0051602~response to electrical stimulus"	0.204947755948197	1	255	25	1
"GO:0070979~protein K11-linked ubiquitination"	0.204947755948197	1	255	25	1
"GO:0007159~leukocyte cell-cell adhesion"	0.204947755948197	1	255	25	1
"GO:0048839~inner ear development"	0.204947755948197	1	255	50	2
"GO:0006099~tricarboxylic acid cycle"	0.204947755948197	1	255	25	1
"GO:0001836~release of cytochrome c from mitochondria"	0.204947755948197	1	255	25	1
"GO:0006730~one-carbon metabolic process"	0.204947755948197	1	255	25	1
"GO:0045931~positive regulation of mitotic cell cycle"	0.204947755948197	1	255	25	1
"GO:0006890~retrograde vesicle-mediated transport, Golgi to ER"	0.204947755948197	1	255	25	1
"GO:0071363~cellular response to growth factor stimulus"	0.204947755948197	1	255	50	2
"GO:0030030~cell projection organization"	0.204947755948197	1	255	25	1
"GO:0042246~tissue regeneration"	0.204947755948197	1	255	25	1
"GO:0042493~response to drug"	0.203843461469669	0.366669838193357	255	326	13
"GO:0043085~positive regulation of catalytic activity"	0.197888932418785	1	255	51	2
"GO:0051403~stress-activated MAPK cascade"	0.191101602102043	1	255	52	2
"GO:0032720~negative regulation of tumor necrosis factor production"	0.191101602102043	1	255	26	1
"GO:0016049~cell growth"	0.191101602102043	1	255	52	2
"GO:0007017~microtubule-based process"	0.191101602102043	1	255	26	1
"GO:0071260~cellular response to mechanical stimulus"	0.191101602102043	1	255	52	2
"GO:0008333~endosome to lysosome transport"	0.191101602102043	1	255	26	1
"GO:0006412~translation"	0.184570397457631	0.742648784717777	255	265	10
"GO:0014070~response to organic cyclic compound"	0.180768651470585	1	255	134	5
"GO:0007157~heterophilic cell-cell adhesion"	0.17828108928153	1	255	27	1
"GO:0001824~blastocyst development"	0.17828108928153	1	255	27	1
"GO:0002480~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent"	0.17828108928153	1	255	27	1
"GO:0005977~glycogen metabolic process"	0.17828108928153	1	255	27	1
"GO:0034612~response to tumor necrosis factor"	0.17828108928153	1	255	27	1
"GO:0042771~DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis"	0.17828108928153	1	255	27	1
"GO:0006325~chromatin organization"	0.17828108928153	1	255	27	1
"GO:0000079~regulation of cyclin-dependent protein kinase activity"	0.17828108928153	1	255	54	2
"GO:0032570~response to progesterone stimulus"	0.17828108928153	1	255	27	1
"GO:0001889~liver development"	0.17828108928153	1	255	81	3
"GO:0050776~regulation of immune response"	0.172220483220924	1	255	110	4
"GO:0045087~innate immune response"	0.170248960767474	0.642643664355715	255	332	12
"GO:0009653~anatomical structure morphogenesis"	0.169272080272521	1	255	111	4
"GO:0035690~cellular response to drug"	0.166376327376768	1	255	28	1
"GO:0042594~response to starvation"	0.166376327376768	1	255	28	1
"GO:0006006~glucose metabolic process"	0.163531826744657	1	255	113	4
"GO:0045454~cell redox homeostasis"	0.160737229632407	1	255	57	2
"GO:0071222~cellular response to lipopolysaccharide"	0.160737229632407	1	255	57	2
"GO:0010043~response to zinc ion"	0.155292583534404	1	255	29	1
"GO:0010468~regulation of gene expression"	0.155292583534404	1	255	87	3
"GO:0007338~single fertilization"	0.155292583534404	1	255	29	1
"GO:0007190~activation of adenylate cyclase activity"	0.155292583534404	1	255	29	1
"GO:0071560~cellular response to transforming growth factor beta stimulus"	0.155292583534404	1	255	29	1
"GO:0000910~cytokinesis"	0.155292583534404	1	255	58	2
"GO:0051865~protein autoubiquitination"	0.155292583534404	1	255	29	1
"GO:0034080~CenH3-containing nucleosome assembly at centromere"	0.155292583534404	1	255	29	1
"GO:0006631~fatty acid metabolic process"	0.150032501710909	1	255	59	2
"GO:0042742~defense response to bacterium"	0.148318542465051	1	255	89	3
"GO:0001707~mesoderm formation"	0.144947755948197	1	255	30	1
"GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process"	0.144947755948197	1	255	30	1
"GO:0001837~epithelial to mesenchymal transition"	0.144947755948197	1	255	30	1
"GO:0071310~cellular response to organic substance"	0.144947755948197	1	255	30	1
"GO:0021983~pituitary gland development"	0.144947755948197	1	255	30	1
"GO:0006754~ATP biosynthetic process"	0.144947755948197	1	255	30	1
"GO:0030838~positive regulation of actin filament polymerization"	0.144947755948197	1	255	30	1
"GO:0006974~response to DNA damage stimulus"	0.141000387527144	1	255	152	5
"GO:0006916~anti-apoptosis"	0.140722403835521	1	255	213	7
"GO:0035666~TRIF-dependent toll-like receptor signaling pathway"	0.140029723161311	1	255	61	2
"GO:0008217~regulation of blood pressure"	0.140029723161311	1	255	61	2
"GO:0006310~DNA recombination"	0.138426016817762	1	255	92	3
"GO:0000082~G1/S transition of mitotic cell cycle"	0.137155548155989	1	255	154	5
"GO:0048011~nerve growth factor receptor signaling pathway"	0.135270336593358	1	255	217	7
"GO:0032321~positive regulation of Rho GTPase activity"	0.135270336593358	1	255	31	1
"GO:0007067~mitosis"	0.135270336593358	1	255	186	6
"GO:0006968~cellular defense response"	0.135270336593358	1	255	62	2
"GO:0043200~response to amino acid stimulus"	0.135270336593358	1	255	31	1
"GO:0070555~response to interleukin-1"	0.135270336593358	1	255	31	1
"GO:0006694~steroid biosynthetic process"	0.135270336593358	1	255	31	1
"GO:0033572~transferrin transport"	0.135270336593358	1	255	31	1
"GO:0015991~ATP hydrolysis coupled proton transport"	0.135270336593358	1	255	31	1
"GO:0032496~response to lipopolysaccharide"	0.133409294409735	1	255	156	5
"GO:0000226~microtubule cytoskeleton organization"	0.130662041662482	1	255	63	2
"GO:0034138~toll-like receptor 3 signaling pathway"	0.130662041662482	1	255	63	2
"GO:0009409~response to cold"	0.126197755948197	1	255	32	1
"GO:0006869~lipid transport"	0.126197755948197	1	255	64	2
"GO:0007259~JAK-STAT cascade"	0.126197755948197	1	255	32	1
"GO:0006641~triglyceride metabolic process"	0.126197755948197	1	255	32	1
"GO:0043407~negative regulation of MAP kinase activity"	0.126197755948197	1	255	32	1
"GO:0045596~negative regulation of cell differentiation"	0.126197755948197	1	255	32	1
"GO:0043086~negative regulation of catalytic activity"	0.126197755948197	1	255	32	1
"GO:0006865~amino acid transport"	0.126197755948197	1	255	32	1
"GO:0043547~positive regulation of GTPase activity"	0.126197755948197	1	255	64	2
"GO:0006605~protein targeting"	0.126197755948197	1	255	32	1
"GO:0009725~response to hormone stimulus"	0.121870832871274	1	255	65	2
"GO:0002756~MyD88-independent toll-like receptor signaling pathway"	0.121870832871274	1	255	65	2
"GO:0016337~cell-cell adhesion"	0.120457960029829	1	255	98	3
"GO:0045471~response to ethanol"	0.117675028675469	1	255	99	3
"GO:0001933~negative regulation of protein phosphorylation"	0.117675028675469	1	255	33	1
"GO:0008203~cholesterol metabolic process"	0.117675028675469	1	255	66	2
"GO:0021915~neural tube development"	0.117675028675469	1	255	33	1
"GO:0031667~response to nutrient levels"	0.117675028675469	1	255	33	1
"GO:0003151~outflow tract morphogenesis"	0.117675028675469	1	255	33	1
"GO:0042130~negative regulation of T cell proliferation"	0.117675028675469	1	255	33	1
"GO:0055114~oxidation-reduction process"	0.114178525178966	1	255	468	14
"GO:0008360~regulation of cell shape"	0.109653638301138	1	255	102	3
"GO:0045785~positive regulation of cell adhesion"	0.109653638301138	1	255	34	1
"GO:0070936~protein K48-linked ubiquitination"	0.109653638301138	1	255	34	1
"GO:0050821~protein stabilization"	0.109653638301138	1	255	68	2
"GO:0009314~response to radiation"	0.109653638301138	1	255	34	1
"GO:0006284~base-excision repair"	0.109653638301138	1	255	34	1
"GO:0034130~toll-like receptor 1 signaling pathway"	0.109653638301138	1	255	68	2
"GO:0006352~transcription initiation, DNA-dependent"	0.109653638301138	1	255	34	1
"GO:0006629~lipid metabolic process"	0.108362390094538	1	255	205	6
"GO:0016071~mRNA metabolic process"	0.107447755948197	1	255	240	7
"GO:0034134~toll-like receptor 2 signaling pathway"	0.105817321165588	1	255	69	2
"GO:0007409~axonogenesis"	0.102090613091054	1	255	105	3
"GO:0006749~glutathione metabolic process"	0.102090613091054	1	255	35	1
"GO:0045740~positive regulation of DNA replication"	0.102090613091054	1	255	35	1
"GO:0006836~neurotransmitter transport"	0.102090613091054	1	255	35	1
"GO:0008624~induction of apoptosis by extracellular signals"	0.0996647370802722	1	255	106	3
"GO:0044267~cellular protein metabolic process"	0.099446470601153	1	255	389	11
"GO:0005975~carbohydrate metabolic process"	0.09846888270876	1	255	284	8
"GO:0045727~positive regulation of translation"	0.0949477559481966	1	255	36	1
"GO:0007498~mesoderm development"	0.0949477559481966	1	255	36	1
"GO:0030335~positive regulation of cell migration"	0.0949477559481966	1	255	108	3
"GO:0006665~sphingolipid metabolic process"	0.0949477559481966	1	255	72	2
"GO:0030097~hemopoiesis"	0.0949477559481966	1	255	72	2
"GO:0009636~response to toxin"	0.0915230984139502	1	255	73	2
"GO:0045766~positive regulation of angiogenesis"	0.0915230984139502	1	255	73	2
"GO:0009749~response to glucose stimulus"	0.08819099919144	1	255	74	2
"GO:0045597~positive regulation of cell differentiation"	0.08819099919144	1	255	37	1
"GO:0002224~toll-like receptor signaling pathway"	0.08819099919144	1	255	74	2
"GO:0006644~phospholipid metabolic process"	0.08819099919144	1	255	37	1
"GO:0032870~cellular response to hormone stimulus"	0.08819099919144	1	255	37	1
"GO:0016485~protein processing"	0.08819099919144	1	255	37	1
"GO:0006260~DNA replication"	0.0849477559481968	1	255	150	4
"GO:0034142~toll-like receptor 4 signaling pathway"	0.0849477559481968	1	255	75	2
"GO:0009791~post-embryonic development"	0.0817898612113545	1	255	76	2
"GO:0044237~cellular metabolic process"	0.0817898612113545	1	255	38	1
"GO:0008654~phospholipid biosynthetic process"	0.0817898612113545	1	255	38	1
"GO:0006833~water transport"	0.0817898612113545	1	255	38	1
"GO:0008063~Toll signaling pathway"	0.0817898612113545	1	255	76	2
"GO:0051084~'de novo' posttranslational protein folding"	0.0817898612113545	1	255	38	1
"GO:0007219~Notch signaling pathway"	0.079730364643849	1	255	115	3
"GO:0001525~angiogenesis"	0.0793227559481968	1	255	192	5
"GO:0042060~wound healing"	0.0787139897144305	1	255	77	2
